features,urgencia,raw_values,texto
"[-0.0191306  -0.1409784   1.1220411  -0.17019248  1.4977871  -1.0401741
  0.39586022 -0.7277263  -0.28068343  0.5761024  -0.29899576 -0.60709816
 -0.43834746 -0.8502512  -0.04745565 -0.63284165 -0.11712005  0.06753165]",0.24035625408093134,"{'daily_screen_time_hours_raw': 7.45, 'sleep_hours_raw': 8.66, 'social_media_hours_raw': 3.05, 'notifications_per_day_raw': 65.0, 'screen_time_weekend_difference_raw': 1.2199999999999998}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (7.5h) es aceptable, pero intenta reducirlo un poco más.
• Considera desactivar las notificaciones push de redes sociales.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 0.23000571  1.2972934  -1.7227285  -0.9448738   0.2901699   0.7921407
  1.6350145   0.286256    0.45325255 -1.3277954  -0.85151047  1.5987803
 -0.66319627  0.16953781  0.38229537 -0.03294871  0.3204863   0.6746204 ]",0.7121824324131012,"{'daily_screen_time_hours_raw': 8.1, 'sleep_hours_raw': 7.11, 'social_media_hours_raw': 5.33, 'notifications_per_day_raw': 187.0, 'screen_time_weekend_difference_raw': 1.950000000000001}","⚠️ Tu patrón de uso digital indica un nivel de urgencia alto. Es importante tomar acción pronto:

• Realiza un 'detox digital' periódico de redes sociales.
• Reemplaza parte del tiempo de pantalla con actividades offline como leer o caminar.

💡 Considera buscar ayuda profesional para manejar tu relación con la tecnología."
"[-0.11111939 -0.9925867   1.5234504  -0.28889367  0.8043811   0.9723684
 -1.5454814   1.5919318  -0.793061    0.91740906 -0.33810624 -0.1222897
 -0.37457335  0.48975876 -0.14675419 -0.48747727 -0.19677007 -1.1679516 ]",0.28769328693548835,"{'daily_screen_time_hours_raw': 7.21, 'sleep_hours_raw': 7.77, 'social_media_hours_raw': 1.7, 'notifications_per_day_raw': 199.0, 'screen_time_weekend_difference_raw': 2.89}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Considera usar aplicaciones que monitoreen y limiten tu tiempo de pantalla.
• Tu uso de redes sociales (1.7h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 0.536635   -1.1566001   0.84279996 -1.1760287   0.46157363  0.9723684
  0.18933451 -1.1583215  -1.011265    0.10645292 -1.0329233   0.89580804
 -0.6857146   0.11810356  0.05184288  0.12845689  0.38464785 -0.2957242 ]",0.45457932104667026,"{'daily_screen_time_hours_raw': 8.9, 'sleep_hours_raw': 7.33, 'social_media_hours_raw': 1.44, 'notifications_per_day_raw': 199.0, 'screen_time_weekend_difference_raw': 0.91}","📊 Tus hábitos digitales requieren atención. Considera estas recomendaciones:

• Reemplaza parte del tiempo de pantalla con actividades offline como leer o caminar.
• Tu uso de redes sociales (1.4h) es saludable, continúa así.

💡 Pequeños cambios diarios pueden marcar una gran diferencia en tus hábitos digitales."
"[-0.16861239 -1.181833    0.7904422  -1.5321323   1.3965031   1.0474633
 -0.0171912   1.1474464  -0.9036903   0.44837192 -1.1551951   0.835207
 -0.878294    0.5816076  -0.6188292  -0.7030709   1.3803566  -0.12658836]",0.2694397370020548,"{'daily_screen_time_hours_raw': 7.06, 'sleep_hours_raw': 8.53, 'social_media_hours_raw': 1.4, 'notifications_per_day_raw': 204.0, 'screen_time_weekend_difference_raw': 2.570000000000001}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (7.1h) es aceptable, pero intenta reducirlo un poco más.
• Tu uso de redes sociales (1.4h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 0.03452953 -0.3365329  -1.1991513   0.88562316  0.5862309   0.7170459
  1.5730568   1.3002383  -0.4234743  -0.98273706  0.34389186  1.5018187
  0.96506584  0.23276733 -0.08164039 -0.30372044 -0.76166666  0.7803774 ]",0.31651088098684943,"{'daily_screen_time_hours_raw': 7.59, 'sleep_hours_raw': 7.49, 'social_media_hours_raw': 2.74, 'notifications_per_day_raw': 182.0, 'screen_time_weekend_difference_raw': 2.68}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (7.6h) es aceptable, pero intenta reducirlo un poco más.
• Tu uso de redes sociales (2.7h) es moderado; intenta bajarlo de 2 horas diarias.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[-0.39091864  0.22489777 -1.068257   -1.0385853  -1.1044332  -0.61964285
 -1.235693   -0.6304951   0.16397826 -0.81945246 -0.7614173  -1.2252289
 -0.6089279  -0.45096073 -0.7045623   0.1354089   0.18016566 -0.9040541 ]",0.33311770359675086,"{'daily_screen_time_hours_raw': 6.48, 'sleep_hours_raw': 5.32, 'social_media_hours_raw': 3.63, 'notifications_per_day_raw': 93.0, 'screen_time_weekend_difference_raw': 1.2899999999999991}","📊 Tus hábitos digitales requieren atención. Considera estas recomendaciones:

• Tu tiempo de pantalla (6.5h) es aceptable, pero intenta reducirlo un poco más.
• Tu uso de redes sociales (3.6h) es moderado; intenta bajarlo de 2 horas diarias.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[-0.04596066 -0.74025834 -1.4434873   0.85438603 -0.02926433 -0.24416848
  1.4697939  -1.0888706  -0.64911807 -1.1372334   0.37575623  0.665524
  1.7254362  -0.33452874 -0.51356184 -0.11439002 -0.84929526  0.77780765]",0.26617713520924247,"{'daily_screen_time_hours_raw': 7.38, 'sleep_hours_raw': 6.7, 'social_media_hours_raw': 2.1, 'notifications_per_day_raw': 118.0, 'screen_time_weekend_difference_raw': 0.96}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (7.4h) es aceptable, pero intenta reducirlo un poco más.
• Tu uso de redes sociales (2.1h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 1.5293474  -0.09051272  0.9387891  -1.557122   -0.987567    1.1525961
  0.04476652 -1.6028068  -0.68456066 -0.17976703 -1.2942827   0.9564091
 -0.9742558  -0.16531038  1.3313289   2.033984    2.655709   -0.62326   ]",0.7774354517459869,"{'daily_screen_time_hours_raw': 11.49, 'sleep_hours_raw': 5.47, 'social_media_hours_raw': 3.13, 'notifications_per_day_raw': 211.0, 'screen_time_weekend_difference_raw': 0.5899999999999999}","⚠️ Tu patrón de uso digital indica un nivel de urgencia alto. Es importante tomar acción pronto:

• Reduce tu tiempo de pantalla (11.5h) a menos de 6 horas diarias.
• Considera desactivar las notificaciones push de redes sociales.

💡 Considera buscar ayuda profesional para manejar tu relación con la tecnología."
"[ 1.3798655  -0.29237542  0.07488667  1.0043243  -1.2602547   0.8672356
  0.62303853  0.7724119  -0.7414414  -0.5265595  -0.18413071  1.065491
  0.3638102  -0.24110046  1.3600875   2.1784368  -0.6304218  -0.34394786]",0.803984522819519,"{'daily_screen_time_hours_raw': 11.1, 'sleep_hours_raw': 5.12, 'social_media_hours_raw': 2.81, 'notifications_per_day_raw': 192.0, 'screen_time_weekend_difference_raw': 2.3000000000000007}","⚠️ Tu patrón de uso digital indica un nivel de urgencia alto. Es importante tomar acción pronto:

• Reemplaza parte del tiempo de pantalla con actividades offline como leer o caminar.
• Tu uso de redes sociales (2.8h) es moderado; intenta bajarlo de 2 horas diarias.

💡 Considera buscar ayuda profesional para manejar tu relación con la tecnología."
"[-0.49057314 -0.8033404   0.1272444   0.39832366  1.4977871   0.37160948
 -1.2563455   0.6057298  -0.5401962   0.1597875   0.37269768 -0.43741518
  0.27827922  0.34468615 -0.61557347 -0.93858695 -0.6033406  -0.89576584]",0.23611264179150263,"{'daily_screen_time_hours_raw': 6.22, 'sleep_hours_raw': 8.66, 'social_media_hours_raw': 2.0, 'notifications_per_day_raw': 159.0, 'screen_time_weekend_difference_raw': 2.1800000000000006}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Considera usar aplicaciones que monitoreen y limiten tu tiempo de pantalla.
• Tu uso de redes sociales (2.0h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 0.6976154   0.14919925 -1.5220239   0.02972527  0.46157363  0.6119131
 -1.3596084   1.0779955  -0.37714058 -1.2233063  -0.43501902 -0.30409285
  0.18182422 -0.13624316  0.46640068  0.25177506 -0.56850666 -1.1438113 ]",0.7133565843105316,"{'daily_screen_time_hours_raw': 9.32, 'sleep_hours_raw': 7.33, 'social_media_hours_raw': 3.51, 'notifications_per_day_raw': 175.0, 'screen_time_weekend_difference_raw': 2.52}","⚠️ Tu patrón de uso digital indica un nivel de urgencia alto. Es importante tomar acción pronto:

• Reemplaza parte del tiempo de pantalla con actividades offline como leer o caminar.
• Considera desactivar las notificaciones push de redes sociales.

💡 Considera buscar ayuda profesional para manejar tu relación con la tecnología."
"[ 0.6976154  -0.5888613  -1.6267394  -1.238503   -0.0760108  -0.529529
 -1.1943878   1.2307874  -0.7477104  -1.279287   -1.0855098  -1.1282672
 -0.3811087  -0.7153348  -0.2558198   0.53571147 -0.19510241 -1.059049  ]",0.5101611067851384,"{'daily_screen_time_hours_raw': 9.32, 'sleep_hours_raw': 6.64, 'social_media_hours_raw': 2.34, 'notifications_per_day_raw': 99.0, 'screen_time_weekend_difference_raw': 2.629999999999999}","📊 Tus hábitos digitales requieren atención. Considera estas recomendaciones:

• Reemplaza parte del tiempo de pantalla con actividades offline como leer o caminar.
• Tu uso de redes sociales (2.3h) es saludable, continúa así.

💡 Pequeños cambios diarios pueden marcar una gran diferencia en tus hábitos digitales."
"[-0.13794945  0.14919925 -1.7314548   0.64822084 -1.571898   -1.0101361
 -0.43024263  1.7169433  -0.03818585 -1.3310006   0.3003724  -1.0676662
  0.7037611  -0.8035093  -0.4093798   0.7684872  -0.7152159  -0.41827834]",0.3884045879046122,"{'daily_screen_time_hours_raw': 7.14, 'sleep_hours_raw': 4.72, 'social_media_hours_raw': 3.51, 'notifications_per_day_raw': 67.0, 'screen_time_weekend_difference_raw': 2.9799999999999995}","📊 Tus hábitos digitales requieren atención. Considera estas recomendaciones:

• Considera usar aplicaciones que monitoreen y limiten tu tiempo de pantalla.
• Considera desactivar las notificaciones push de redes sociales.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 0.06902532  0.4456851  -0.03855506 -1.0948122   0.39145392  1.0024064
 -0.18241177  1.6752728   0.0405551  -0.234255   -0.9099852   0.7018847
 -0.7738448   0.3884905   0.19780628 -0.20176041  0.7237951  -0.3387758 ]",0.52844933172067,"{'daily_screen_time_hours_raw': 7.68, 'sleep_hours_raw': 7.24, 'social_media_hours_raw': 3.98, 'notifications_per_day_raw': 201.0, 'screen_time_weekend_difference_raw': 2.950000000000001}","📊 Tus hábitos digitales requieren atención. Considera estas recomendaciones:

• Tu uso de redes sociales (4.0h) es moderado; intenta bajarlo de 2 horas diarias.
• Considera usar aplicaciones que monitoreen y limiten tu tiempo de pantalla.

💡 Pequeños cambios diarios pueden marcar una gran diferencia en tus hábitos digitales."
"[-5.9406054e-01 -1.7243390e+00  8.5152626e-01 -1.1073070e+00
 -4.1102719e-01  9.8738742e-01 -5.1285291e-01  8.4526297e-03
 -1.2211100e+00  8.3428615e-01 -7.5187171e-01  4.9584109e-01
 -5.1832783e-01  9.1593009e-01 -1.1370264e+00 -4.2313275e-01
 -6.5093755e-04 -2.7206412e-01]",0.12291524559259415,"{'daily_screen_time_hours_raw': 5.95, 'sleep_hours_raw': 6.21, 'social_media_hours_raw': 0.54, 'notifications_per_day_raw': 200.0, 'screen_time_weekend_difference_raw': 1.75}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (6.0h) es aceptable, pero intenta reducirlo un poco más.
• Tu uso de redes sociales (0.5h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[-1.4602883  -0.74656653 -0.48359573  1.3854176  -1.4394495   0.85221666
 -0.03784377  0.13346414  0.18035765  0.36820713  2.9225562   0.665524
  1.211031    2.2001607  -1.2878734  -0.86176765 -0.79591817  1.0820018 ]",0.16287551820278168,"{'daily_screen_time_hours_raw': 3.69, 'sleep_hours_raw': 4.89, 'social_media_hours_raw': 2.09, 'notifications_per_day_raw': 191.0, 'screen_time_weekend_difference_raw': 1.8400000000000003}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (3.7h) es adecuado, sigue así.
• Tu uso de redes sociales (2.1h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[-1.6864275  -1.7180308  -1.5220239  -0.3013885   0.09539293  0.91229254
  0.64369106 -0.50548357 -0.96625155 -0.97139364  1.1639707   1.1139718
  3.981202    2.9878037  -2.3758163  -1.512238   -0.95759976  2.6175175 ]",0.08647157996892929,"{'daily_screen_time_hours_raw': 3.1, 'sleep_hours_raw': 6.86, 'social_media_hours_raw': 0.55, 'notifications_per_day_raw': 195.0, 'screen_time_weekend_difference_raw': 1.3800000000000003}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (3.1h) es adecuado, sigue así.
• Tu uso de redes sociales (0.6h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[ 0.4331476   0.7674038   0.4064856   1.3104484  -0.1149662   0.50678027
  0.8089117  -1.4361248   0.04682177 -0.09993629  0.35853437  0.88368785
  0.02251731 -0.08735055  1.074672    0.33328426 -0.4964303   0.08461714]",0.6985150128602982,"{'daily_screen_time_hours_raw': 8.63, 'sleep_hours_raw': 6.59, 'social_media_hours_raw': 4.49, 'notifications_per_day_raw': 168.0, 'screen_time_weekend_difference_raw': 0.7099999999999991}","⚠️ Tu patrón de uso digital indica un nivel de urgencia alto. Es importante tomar acción pronto:

• Tu uso de redes sociales (4.5h) es moderado; intenta bajarlo de 2 horas diarias.
• Establece horarios libres de teléfono, especialmente durante comidas y antes de dormir.

💡 Considera buscar ayuda profesional para manejar tu relación con la tecnología."
"[ 0.4561448   0.41414407  1.1569463  -0.22641936  0.45378256 -0.544548
  0.64369106  0.61962    -0.1539796   0.32169402 -0.49957088 -0.06168864
 -0.5487105  -0.6688813   0.6633699   0.07027872  0.05909729 -0.01709336]",0.6814827173948288,"{'daily_screen_time_hours_raw': 8.69, 'sleep_hours_raw': 7.32, 'social_media_hours_raw': 3.93, 'notifications_per_day_raw': 98.0, 'screen_time_weekend_difference_raw': 2.1900000000000013}","⚠️ Tu patrón de uso digital indica un nivel de urgencia alto. Es importante tomar acción pronto:

• Reemplaza parte del tiempo de pantalla con actividades offline como leer o caminar.
• Considera desactivar las notificaciones push de redes sociales.

💡 Considera buscar ayuda profesional para manejar tu relación con la tecnología."
"[-0.99267864  0.18704851  1.5670818   0.9543449  -1.486196    0.5368182
 -1.3183032   0.6474004   0.6553679   2.0212648   1.4092822  -0.3404535
 -0.16237192  0.9867225  -0.2270612  -0.29841277 -0.38597712 -0.7997228 ]",0.20213188230991364,"{'daily_screen_time_hours_raw': 4.91, 'sleep_hours_raw': 4.83, 'social_media_hours_raw': 3.57, 'notifications_per_day_raw': 170.0, 'screen_time_weekend_difference_raw': 2.21}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Considera usar aplicaciones que monitoreen y limiten tu tiempo de pantalla.
• Tu uso de redes sociales (3.6h) es moderado; intenta bajarlo de 2 horas diarias.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
"[-0.76270664 -1.0872098  -0.34397513 -1.3884413   1.5445336   0.55183715
 -1.1737353   0.7446315  -0.65907866 -0.07190092 -0.93681926 -0.24349181
 -0.6644435   0.73260134 -1.3410497  -1.1244874   0.3165758  -0.7486185 ]",0.22302656124035516,"{'daily_screen_time_hours_raw': 5.51, 'sleep_hours_raw': 8.72, 'social_media_hours_raw': 1.55, 'notifications_per_day_raw': 171.0, 'screen_time_weekend_difference_raw': 2.28}","✅ Tienes hábitos digitales saludables. Sigue estas recomendaciones para mantenerlos:

• Tu tiempo de pantalla (5.5h) es aceptable, pero intenta reducirlo un poco más.
• Tu uso de redes sociales (1.6h) es saludable, continúa así.

💡 Mantén estos buenos hábitos y revisa tu progreso regularmente."
